date,yoy_change
3/31/1947,15.4
6/30/1947,12.8
9/30/1947,9.6
12/31/1947,12.2
3/31/1948,9.3
6/30/1948,10.8
9/30/1948,11.9
12/31/1948,7.9
3/31/1949,3.5
6/30/1949,-0.4
9/30/1949,-2.3
12/31/1949,-3.5
3/31/1950,2.1
6/30/1950,7
9/30/1950,12.9
12/31/1950,18.2
3/31/1951,19.6
6/30/1951,18.5
9/30/1951,14
12/31/1951,11.3
3/31/1952,7.1
6/30/1952,4.9
9/30/1952,4.6
12/31/1952,6.9
3/31/1953,7.8
6/30/1953,8.5
9/30/1953,6.4
12/31/1953,1.4
3/31/1954,-0.7
6/30/1954,-1.4
9/30/1954,0
12/31/1954,3.6
3/31/1955,7.2
6/30/1955,9.2
9/30/1955,10
12/31/1955,9.3
3/31/1956,6.5
6/30/1956,5.8
9/30/1956,4.9
12/31/1956,5.3
3/31/1957,6.8
6/30/1957,5.8
9/30/1957,6.3
12/31/1957,3.1
3/31/1958,-0.5
6/30/1958,0
9/30/1958,1.3
12/31/1958,5.2
3/31/1959,9.2
6/30/1959,10.7
9/30/1959,8.1
12/31/1959,5.8
3/31/1960,6.3
6/30/1960,3.5
9/30/1960,3.9
12/31/1960,2.2
3/31/1961,0.4
6/30/1961,2.7
9/30/1961,4
12/31/1961,7.5
3/31/1962,9
6/30/1962,8.1
9/30/1962,7.3
12/31/1962,5.5
3/31/1963,4.7
6/30/1963,4.9
9/30/1963,5.8
12/31/1963,6.8
3/31/1964,7.7
6/30/1964,7.8
9/30/1964,7.4
12/31/1964,6.6
3/31/1965,7.2
6/30/1965,7.6
9/30/1965,8.3
12/31/1965,10.7
3/31/1966,10.9
6/30/1966,10.2
9/30/1966,9.4
12/31/1966,8
3/31/1967,6.1
6/30/1967,5.5
9/30/1967,5.6
12/31/1967,5.8
3/31/1968,7.7
6/30/1968,10.1
9/30/1968,9.9
12/31/1968,9.8
3/31/1969,9.2
6/30/1969,8
9/30/1969,8.3
12/31/1969,7.2
3/31/1970,5.8
6/30/1970,5.8
9/30/1970,5.4
12/31/1970,4.9
3/31/1971,8
6/30/1971,8.3
9/30/1971,8.4
12/31/1971,9.3
3/31/1972,8.4
6/30/1972,9.5
9/30/1972,9.6
12/31/1972,11.6
3/31/1973,11.9
6/30/1973,11.6
9/30/1973,11.1
12/31/1973,11.1
3/31/1974,8.3
6/30/1974,8.2
9/30/1974,8.8
12/31/1974,8.4
3/31/1975,8.4
6/30/1975,8
9/30/1975,9.6
12/31/1975,10.1
3/31/1976,12.6
6/30/1976,12.1
9/30/1976,10.3
12/31/1976,9.8
3/31/1977,9.2
6/30/1977,11
9/30/1977,12.3
12/31/1977,11.9
3/31/1978,10.8
6/30/1978,13.4
9/30/1978,13.1
12/31/1978,14.4
3/31/1979,14.7
6/30/1979,11.1
9/30/1979,11.4
12/31/1979,10
3/31/1980,10.4
6/30/1980,8
9/30/1980,7.1
12/31/1980,9.6
3/31/1981,12
6/30/1981,13.1
9/30/1981,14.1
12/31/1981,9.9
3/31/1982,4.8
6/30/1982,5.4
9/30/1982,3.2
12/31/1982,3.7
3/31/1983,6.1
6/30/1983,7.4
9/30/1983,9.6
12/31/1983,11.5
3/31/1984,12.5
6/30/1984,12
9/30/1984,10.7
12/31/1984,9.3
3/31/1985,8.2
6/30/1985,7.1
9/30/1985,7.4
12/31/1985,7.1
3/31/1986,6.6
6/30/1986,5.8
9/30/1986,5
12/31/1986,4.8
3/31/1987,4.8
6/30/1987,5.7
9/30/1987,6
12/31/1987,7.5
3/31/1988,7.4
6/30/1988,8
9/30/1988,8.2
12/31/1988,7.8
3/31/1989,8.6
6/30/1989,8.1
9/30/1989,7.8
12/31/1989,6.4
3/31/1990,6.6
6/30/1990,6.2
9/30/1990,5.6
12/31/1990,4.5
3/31/1991,2.8
6/30/1991,2.8
9/30/1991,3.2
12/31/1991,4.3
3/31/1992,5.4
6/30/1992,5.6
9/30/1992,5.8
12/31/1992,6.6
3/31/1993,5.8
6/30/1993,5.2
9/30/1993,4.8
12/31/1993,5
