date,credit_impulse,fix,unemployment_claims,building_permits,housing_starts,yc_30_10,yc_10_2,lei,hy_spread
12/31/1948,-1.05,,,,,,,,
12/31/1949,-1.68,,,,,,,,
12/31/1950,3.1,,,,,,,,
12/31/1951,-1.4,,,,,,,,
12/31/1952,0.49,,,,,,,,
3/31/1953,1.8,,,,,,,,
6/30/1953,-1.19,,,,,,,,
9/30/1953,-1.57,,,,,,,,
12/31/1953,-3.94,,,,,,,,
3/31/1954,-2.6,,,,,,,,
6/30/1954,-1.05,,,,,,,,
9/30/1954,1.48,,,,,,,,
12/31/1954,3.22,,,,,,,,
3/31/1955,3.32,,,,,,,,
6/30/1955,4.81,,,,,,,,
9/30/1955,1.97,,,,,,,,
12/31/1955,2.51,,,,,,,,
3/31/1956,-0.18,,,,,,,,
6/30/1956,-1.98,,,,,,,,
9/30/1956,-2.03,,,,,,,,
12/31/1956,-2.61,,,,,,,,
3/31/1957,-0.84,,,,,,,,
6/30/1957,-0.66,,,,,,,,
9/30/1957,-0.88,,,,,,,,
12/31/1957,-1.76,,,,,,,,
3/31/1958,-2.12,,,,,,,,
6/30/1958,-2.72,,,,,,,,
9/30/1958,0.25,,,,,,,,
12/31/1958,3.02,,,,,,,,
3/31/1959,2.49,,,,,,,,
6/30/1959,4.52,,,,,,,,
9/30/1959,2.15,,,,,,,,
12/31/1959,0.04,,,,1517,,,,
1/31/1960,,,,1092,,,,5.5,
2/29/1960,,,,1088,,,,4,
3/31/1960,-0.3,,,955,,,,2.1,
4/30/1960,,,,1016,,,,2.1,
5/31/1960,,,,1052,,,,1.4,
6/30/1960,-1.47,,,958,,,,1.4,
7/31/1960,,,,999,,,,1.1,
8/31/1960,,,,994,,,,1.8,
9/30/1960,-1.99,,,984,,,,1.8,
10/31/1960,,,,972,,,,2.1,
11/30/1960,,,,979,,,,2.8,
12/31/1960,-1.31,,,951,1252.2,,,0.7,
1/31/1961,,,,969,,,,1.4,
2/28/1961,,,,961,,,,1.7,
3/31/1961,-0.89,,,1000,,,,3.5,
4/30/1961,,,,1002,,,,4.2,
5/31/1961,,,,1027,,,,5.2,
6/30/1961,-1.32,,,1070,,,,6.3,
7/31/1961,,,,1083,,,,6.6,
8/31/1961,,,,1159,,,,8,
9/30/1961,0.38,,,1098,,,,8,
10/31/1961,,,,1123,,,,9.7,
11/30/1961,,,,1152,,,,11.1,
12/31/1961,1.57,,,1161,1313,,,12.1,
1/2/1962,,,,,,,,,
1/3/1962,,,,,,,,,
1/4/1962,,,,,,,,,
1/5/1962,,,,,,,,,
1/8/1962,,,,,,,,,
1/9/1962,,,,,,,,,
1/10/1962,,,,,,,,,
1/11/1962,,,,,,,,,
1/12/1962,,,,,,,,,
1/15/1962,,,,,,,,,
1/16/1962,,,,,,,,,
1/17/1962,,,,,,,,,
1/18/1962,,,,,,,,,
1/19/1962,,,,,,,,,
1/22/1962,,,,,,,,,
1/23/1962,,,,,,,,,
1/24/1962,,,,,,,,,
1/25/1962,,,,,,,,,
1/26/1962,,,,,,,,,
1/29/1962,,,,,,,,,
1/30/1962,,,,,,,,,
1/31/1962,,,,1122,,,,11.3,
2/1/1962,,,,,,,,,
2/2/1962,,,,,,,,,
2/5/1962,,,,,,,,,
2/6/1962,,,,,,,,,
2/7/1962,,,,,,,,,
2/8/1962,,,,,,,,,
2/9/1962,,,,,,,,,
2/13/1962,,,,,,,,,
2/14/1962,,,,,,,,,
2/15/1962,,,,,,,,,
2/16/1962,,,,,,,,,
2/19/1962,,,,,,,,,
2/20/1962,,,,,,,,,
2/21/1962,,,,,,,,,
2/23/1962,,,,,,,,,
2/26/1962,,,,,,,,,
2/27/1962,,,,,,,,,
2/28/1962,,,,1194,,,,12.3,
3/1/1962,,,,,,,,,
3/2/1962,,,,,,,,,
3/5/1962,,,,,,,,,
3/6/1962,,,,,,,,,
3/7/1962,,,,,,,,,
3/8/1962,,,,,,,,,
3/9/1962,,,,,,,,,
3/12/1962,,,,,,,,,
3/13/1962,,,,,,,,,
3/14/1962,,,,,,,,,
3/15/1962,,,,,,,,,
3/16/1962,,,,,,,,,
3/19/1962,,,,,,,,,
3/20/1962,,,,,,,,,
3/21/1962,,,,,,,,,
3/22/1962,,,,,,,,,
3/23/1962,,,,,,,,,
3/26/1962,,,,,,,,,
3/27/1962,,,,,,,,,
3/28/1962,,,,,,,,,
3/29/1962,,,,,,,,,
3/30/1962,,,,,,,,,
3/31/1962,0.63,,,1134,,,,11.1,
4/2/1962,,,,,,,,,
4/3/1962,,,,,,,,,
4/4/1962,,,,,,,,,
4/5/1962,,,,,,,,,
4/6/1962,,,,,,,,,
4/9/1962,,,,,,,,,
4/10/1962,,,,,,,,,
4/11/1962,,,,,,,,,
4/12/1962,,,,,,,,,
4/13/1962,,,,,,,,,
4/16/1962,,,,,,,,,
4/17/1962,,,,,,,,,
4/18/1962,,,,,,,,,
